 Яка ваша рідна мова? ;1 (1) Українська  ;1 (2) Російська  ;1 (3) Англійська  ;1 (4) Інша   
Вкажіть, будь ласка, свій вік
(1) 14-17 
(2) 18-25 
(3) 25-35 
(4) 35-45 
(5) 45-65 
(6) 65+ ";3 SIMPLE t Як Ви себе ідентифікуєте?;"3 n 
(1) Чоловік 
(2) Жінка 
(3) Інше 
(4) Віддаю перевагу не відповідати ";4 SIMPLE t Яку освіту Ви маєте? ;4 (1) Базова середня освіта  ;4 (2) Професійна середня освіта  ;4 (3) Здобувач вищої освіти (студент)  ;4 (4) Бакалавр  ;4 (5) Магістр  ;4 (6) Ph.d  ;4 (7) інше  ;4 (8) Оберу не відповідати  ;4 (9) Не маю ;5 YESNO t Чи володієте Ви іншими мовами? ;5 (1) n ;6 OPEN t Якщо так, то якими мовами Ви володієте? ;6 (1) t ;7 YESNO t Чи жили Ви коли-небудь у країні, де говорять іншою мовою?;7 (1) n ;8 YESNO t Чи жили ви коли-небудь в країні, де англійська є державною мовою? ;8 (1) n ;9 SIMPLE t Якщо ви жили в країні, де англійська є державною мовою, вкажіть скільки часу ви перебували у цій країні;"9 n 
(1) до року 
(2) 1-2 роки  
(3) 2-5 років  
(4) 5+ років 
(5) Не стосується  ";10 SIMPLE t Чи використовуєте Ви англійську мову у роботі? ;10 (1) Так  ;10 (2) Ні  ;10 (3) Я не працюю  ;11 YESNO t Чи погоджуєтесь Ви з твердженням? ;11 (1) n ;12 SIMPLE t Як Ви ставитеся до людей, які говорять із сильним акцентом?;12 (1) Позитивно ;12 (2) Негативно  ;12 (3) Нейтрально ;12 (4) Залежить від акценту ;12 (5) Не можу відповісти ;13 SIMPLE t Чи змінюється Ваше сприйняття людини залежно від її акценту?(В позитивну сторону) ;"13 n 
(1) Так 
(2) Ні 
(3) Складно сказати ";14 SIMPLE t Чи змінюється Ваше сприйняття людини залежно від її акценту?(В негативну сторону) ;"14 n 
(1) Так  
(2) Ні  
(3) Складно сказати ";15 YESNO t Чи є акценти, які здаються Вам більш престижними або авторитетними?;15 (1) n ;16 SIMPLE t Який акцент англійської мови для Вас звучить найбільш престижно? ;16 (1) Американський  ;16 (2) Британський  ;17 YESNO t Чи можете Ви зробити припущення звідки людина(з великого міста або села/містечка), враховуючи діалект в українській мові? ;17 (1) n ;18 YESNO t Чи можете Ви зробити припущення з якого регіону України людина(Східний, західний), враховуючи діалект в українській мові? ;18 (1) n ;19 YESNO t Чи можете Ви зробити припущення стосовно соціального статусу та достатку людини, враховуючи діалект в українській мові? ;19 (1) n ;"20 YESNO t Чи важливо для Вас щоб Ваш викладач іноземної мови звучав ""як носій""? ";20 (1) n ;21 YESNO t Чи можете Ви зробити припущення стосовно країни походження іноземця, враховуючи акцент в англійській мові? ;21 (1) n ;22 YESNO t Чи можете Ви зробити припущення стосовно соціального статусу та достатку іноземця, враховуючи його акцент в англійській мові? ;22 (1) n ;23 YESNO t Як Ви вважаєте, чи може акцент впливати на можливості людини знайти хорошу роботу закордоном? ;23 (1) n ;24 YESNO t Чи траплялося так, що Вас або когось із Ваших знайомих оцінювали через акцент? ;24 (1) n ;25 SIMPLE t Чи траплялося так, що Вас або когось із Ваших знайомих дискримінували через акцент? ;"25 n 
(1) Так 
(2) Ні ";26 SIMPLE t Якщо Ви вчите англійську мову, чи важливо Вам звучати «як носій»? ;"26 n 
(1) Так  
(2) Ні  
(3) Не вивчаю  ";27 YESNO t Чи вважаєте, що акцент визначає Ваш рівень володіння іноземною мовою? ;27 (1) n ;28 YESNO t Чи варто спеціально позбуватися акценту при вивченні іноземної мови?;28 (1) n ;29 YESNO t Чи використовуєте Ви якісь методи подолання акценту при вивченні іноземною мовою? ;29 (1) n ;30 OPEN t Якщо так, які методи для Вас є найбільш ефективними для подолання акценту? ;30 (1) t 
DzLTBOR5n20O;2025-04-20 17:11:51.038221+02;Kolektor;;;;;00:03:21.3934;0;;1;1;;;;2;;1;;;;1;;;;;;;;1;;English, Slovak;;1;;0;;5;;1;;;;1;;;;1;;;;3;;3;;0;;1;;;1;;1;;1;;1;;1;;0;;1;;0;;1;;1;;1;;1;;1;;Watching english films to improve my speaking skills and pronunciation 
Y56K8So1ezb1;2025-04-20 17:16:12.760302+02;Kolektor;;;;;00:04:46.342815;0;;1;1;;;;2;;2;;;1;1;;;;;;;;1;;;;1;;0;;5;;1;;;;1;;;;1;;;;3;;3;;0;;;1;;1;;1;;0;;1;;1;;0;;1;;1;;1;;1;;1;;1;;1;;практика з носієм/прослуховування аудіо
9aec9MU6IcaX;2025-04-20 17:26:09.137041+02;Kolektor;;;;;00:02:49.551433;0;;1;;;;;2;;2;;;;1;;;;;;;;0;;;;0;;0;;5;;1;;;;0;;;;1;;;;3;;3;;0;;;1;;1;;1;;0;;1;;1;;0;;1;;0;;1;;1;;0;;0;;1;;Shadowing 
F5aLjhfSp0sF;2025-04-20 17:32:13.254203+02;Kolektor;;;;;00:34:41.077823;0;;1;;;;;2;;2;;;;1;;;;;;;;1;;Англійська, Словацька, Українська, Російська ;;1;;0;;5;;;;1;;1;;1;;;;;;2;;2;;1;;;1;;1;;1;;1;;0;;1;;0;;1;;1;;1;;1;;1;;1;;1;;-
8s5nMddB0rdF;2025-04-20 17:34:34.008782+02;Kolektor;;;;;00:02:32.88596;0;;1;;;;;2;;2;;;;1;;;;;;;;1;;Польська, Французька;;1;;0;;5;;;;1;;1;;;;1;;;;2;;2;;0;;;1;;0;;1;;0;;0;;1;;0;;1;;0;;1;;1;;0;;0;;0;;.
vEmzTWib1sYb;2025-04-20 17:35:00.129767+02;Kolektor;;;;;00:04:17.014463;0;;1;1;;;;2;;2;;1;;;;;;;;;;1;;Англійська, Німецька;;1;;1;;1;;1;;;;1;;;;;1;;;3;;3;;0;;;1;;1;;1;;0;;1;;1;;0;;1;;1;;1;;1;;0;;0;;0;;-
IKSyQBbaAqfH;2025-04-20 17:39:07.704155+02;Kolektor;;;;;00:03:09.721143;0;;1;;;;;2;;2;;;;1;1;;;;;;;1;;Англійська, Іспанська, Німецька ;;1;;0;;5;;1;;;;0;;;;1;;;;2;;2;;0;;;1;;1;;1;;0;;1;;1;;0;;1;;1;;1;;1;;1;;1;;0;;Reading out loud
fIfqNL9u6e6u;2025-04-20 17:50:34.43607+02;Kolektor;;;;;00:04:28.807584;0;;1;;;;;3;;2;;;;;;;1;;;;;1;;English ;;1;;0;;5;;1;;;;1;;1;;;;;;2;;2;;1;;;1;;1;;1;;0;;1;;1;;1;;1;;1;;1;;2;;0;;0;;0;;Ні
sK9Fc2nZqiQ7;2025-04-20 17:57:30.264706+02;Kolektor;;;;;00:03:03.004162;0;;1;1;;;;2;;1;;;;1;;;;;;;;1;;Англійська, Італійська;;1;;0;;5;;1;;;;1;;;;;1;;;3;;3;;1;;;1;;1;;1;;1;;1;;1;;0;;1;;0;;1;;1;;1;;1;;1;;Фільми, пісні
MjZfUFA4sGsD;2025-04-20 18:19:56.738638+02;Kolektor;;;;;00:03:32.743631;0;;1;;;;;2;;2;;;;1;;;;;;;;1;;Англійська;;0;;0;;5;;;;1;;1;;;;;1;;;3;;3;;1;;;1;;1;;1;;1;;1;;1;;0;;1;;0;;1;;1;;0;;1;;0;; 
nwu9SM7sgidE;2025-04-20 18:21:19.031139+02;Kolektor;;;;;00:03:38.217077;0;;1;1;;;;2;;2;;;1;;;;;1;;;;0;;;;1;;0;;5;;1;;;;0;;;;;1;;;1;;3;;1;;;1;;1;;1;;1;;1;;1;;0;;0;;1;;1;;1;;1;;0;;0;;.
oFEYS3aKDtU4;2025-04-20 18:21:47.741847+02;Kolektor;;;;;00:03:13.729654;0;;1;;;;;2;;2;;;;1;;;;;;;;1;;Японська, англійська;;0;;0;;5;;;;1;;1;;;;1;1;;;2;;2;;1;;;1;;1;;1;;0;;1;;0;;0;;1;;0;;1;;1;;0;;1;;0;;-
6slIJVfjxVfh;2025-04-20 18:28:18.121296+02;Kolektor;;;;;00:02:57.187913;0;;1;;;;;2;;2;;;;1;;;;;;;;1;;англійська, польска, іспанська, російська ;;1;;1;;2;;1;;;;1;;;;1;;;;1;;1;;1;;;1;;1;;1;;0;;1;;1;;1;;1;;1;;1;;1;;0;;1;;1;;shadowing, вивчення окремих звуків у мові
mZAXihDxvbfO;2025-04-20 18:52:44.711254+02;Kolektor;;;;;00:02:13.610378;0;;1;1;;;;1;;2;;1;;;;;;;;;;0;;;;0;;0;;5;;1;;;;0;;;;;1;;;1;;3;;1;;;1;;1;;1;;0;;1;;1;;0;;1;;1;;1;;1;;1;;1;;0;;-
VhyfG9nhMz9z;2025-04-20 19:00:36.638073+02;Kolektor;;;;;00:02:20.814662;0;;1;1;;;;2;;2;;;;1;;;;;;;;1;;Англійська, Польська ;;1;;0;;5;;1;;;;1;;1;;;;;;2;;2;;1;;;1;;1;;1;;0;;0;;1;;0;;0;;0;;1;;2;;0;;0;;0;;Shadowing
s9KRimBoXqbb;2025-04-20 19:44:44.104053+02;Kolektor;;;;;00:02:42.148242;0;;1;1;;;;2;;2;;;;1;;;;;;;;1;;Англійська, іспанська, німецька ;;0;;0;;5;;;;1;;1;;;;1;1;;;2;;2;;1;;1;;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;0;;1;;0;;Не маю 
EgXb1c4m0i9H;2025-04-20 19:55:54.265792+02;Kolektor;;;;;00:02:44.219358;0;;1;;;;;2;;2;;;;1;;;;;;;;1;;англійська, російська та польська;;1;;0;;5;;1;;;;1;;;;1;;;;2;;2;;0;;;1;;1;;1;;0;;1;;1;;0;;1;;1;;1;;1;;1;;1;;0;;розмовляти 
ZRl47ts32P2M;2025-04-20 20:05:50.800684+02;Kolektor;;;;;00:05:22.329648;0;;1;1;;;;2;;2;;;;1;;;;;;;;0;;;;1;;0;;5;;1;;;;1;;;;1;;;;2;;2;;1;;1;;;1;;1;;0;;1;;1;;0;;1;;0;;1;;1;;1;;1;;0;;не знаю жодного) хіба що оточити себе середовищем 
4v1V1LCUIUxe;2025-04-20 20:10:11.82808+02;Kolektor;;;;;00:03:44.715656;0;;1;1;;;;1;;1;;;;;;;;;1;;;1;;Англійською;;0;;0;;5;;;1;;;0;;1;;1;;;;3;;3;;0;;;1;;0;;1;;0;;1;;1;;0;;1;;1;;1;;1;;1;;0;;1;;Дивитись фільми слухати носіїв та переписуватись 
FOM7crtbcXa4;2025-04-20 20:14:22.372481+02;Kolektor;;;;;00:02:15.579294;0;;1;1;;;;1;;1;;;;;;;;;1;;;1;;Англійською ;;0;;0;;5;;1;;;;0;;1;;;;;;1;;2;;1;;;1;;0;;1;;0;;1;;1;;0;;1;;1;;1;;1;;1;;0;;1;;Дивлюсь фільми, спілкуюсь з носіями 
JbrXLp5yYmjE;2025-04-20 21:32:30.453698+02;Kolektor;;;;;00:07:09.280428;0;;1;;;;;2;;4;;;;;;;;1;;;;1;;Польська;;1;;0;;5;;;1;;;1;;;;1;;;;3;;2;;0;;1;1;;1;;1;;1;;1;;1;;0;;0;;0;;1;;1;;1;;0;;1;;Фільми на мові оригіналу 
wtYtRBQbdcKs;2025-04-20 22:13:52.103494+02;Kolektor;;;;;00:05:05.361071;0;;1;;;;;2;;2;;;;;1;;;;;;;1;;Англійська, французька ;;0;;0;;5;;1;;;;0;;;;;1;;;1;;3;;1;;;1;;1;;1;;0;;1;;1;;0;;1;;1;;1;;1;;0;;0;;0;;Спілкування з носіями (мімікрія)
Ar1Ozqbj5pf5;2025-04-20 22:30:47.468554+02;Kolektor;;;;;00:03:11.107195;0;;1;;;;;2;;2;;;;1;;;;;;;;1;;Французька, Англійська;;1;;1;;3;;1;;;;0;;;;1;;;;2;;2;;1;;;1;;0;;1;;0;;1;;1;;0;;1;;0;;1;;1;;1;;1;;0;;-
OjdLQldVN0RQ;2025-04-20 22:36:58.906267+02;Kolektor;;;;;00:03:22.358528;0;;;1;;;;2;;2;;;;1;;;;;;;;1;;English;;1;;1;;3;;1;;;;1;;;;;1;;;2;;1;;1;;;1;;1;;1;;1;;1;;1;;0;;1;;1;;1;;1;;0;;1;;0;;-
M1aOkl6BU5ls;2025-04-20 22:37:24.536232+02;Kolektor;;;;;00:04:13.796956;0;;1;;;;;1;;2;;;;1;;;;;;;;1;;Польська, українська, російська, анг;;1;;0;;5;;1;;;;1;;;;;1;;;2;;2;;1;;;1;;0;;1;;0;;1;;1;;0;;1;;1;;1;;1;;0;;0;;1;;-
3dkZjtLf5ytv;2025-04-20 23:18:01.038795+02;Kolektor;;;;;00:04:43.377959;0;;1;;;;;2;;2;;;;;1;;;;;;;1;;Англійською ;;0;;0;;5;;;1;;;0;;;;1;;;;2;;2;;0;;1;;;0;;1;;0;;1;;1;;0;;0;;0;;1;;1;;1;;1;;0;;Слухати музику та повторювати вимову, те ж саме стосується і фільмів 
59JXV751BAat;2025-05-06 04:13:18.497215+02;Kolektor;;;;;00:07:07.812789;0;;1;1;;;;5;;1;;;;;;;1;;;;;0;;Укр англ;;0;;1;;1;;1;;;;1;;;;1;;;;3;;3;;1;;1;;;1;;1;;1;;0;;1;;1;;1;;1;;1;;2;;0;;0;;0;;Не використовую
do8lSfUKm62D;2025-05-06 10:51:05.266559+02;Kolektor;;;;;00:32:26.552506;0;;1;1;;;;5;;2;;;;;;1;;;;;;1;;англійська;;0;;0;;5;;1;;;;1;;1;;;;;;2;;2;;0;;;1;;1;;1;;0;;1;;0;;0;;0;;0;;2;;2;;0;;0;;0;;   
4eDhJ8ciYOY0;2025-05-06 10:51:13.608715+02;Kolektor;;;;;00:05:21.985068;0;;1;;;;;5;;2;;;;;;1;;;;;;1;;Французькою;;1;;0;;5;;1;;;;1;;1;;;;;;3;;2;;1;;;1;;1;;1;;0;;1;;1;;0;;1;;0;;2;;1;;0;;1;;1;;Слухати пісні або новини на мові, яку вивчаю. Дивитись фільми
69tfFf8jzTCg;2025-05-06 11:20:25.979832+02;Kolektor;;;;;00:04:27.624073;0;;;1;;;;5;;2;;;;;;1;;;;;;1;;Англійська;;0;;0;;5;;1;;;;1;;1;;;;;;3;;2;;1;;;1;;1;;1;;1;;1;;1;;0;;0;;0;;2;;1;;0;;0;;1;;Фонетичні вправи, повторення за спікером
lPyHaMmTRCgS;2025-05-06 11:26:11.697642+02;Kolektor;;;;;00:06:43.364342;0;;1;;;;;5;;2;;;;;;1;;;;;;1;;російська, англійська ;;0;;0;;5;;1;;;;1;;;;1;;;;2;;2;;0;;;1;;1;;1;;0;;0;;1;;0;;0;;0;;2;;2;;0;;1;;0;;немає
pE6ah9aD9jAA;2025-05-06 15:45:43.543721+02;Kolektor;;;;;00:05:32.703036;0;;;1;;;;5;;2;;;;;;1;;;;;;1;;Українська, Англійська А2;;0;;0;;5;;1;;;;1;;1;;;;;;3;;3;;0;;1;;;1;;1;;0;;1;;0;;0;;1;;1;;2;;1;;1;;0;;0;;0
06hZQDXYAefe;2025-05-06 22:59:32.882287+02;Kolektor;;;;;00:03:46.710366;0;;1;1;;;;4;;1;;;;;1;;;;;;;1;;Англійська ;;0;;0;;5;;1;;;;1;;;;1;1;;;2;;1;;1;;;1;;1;;1;;1;;0;;1;;0;;0;;0;;2;;2;;0;;1;;1;;Фільми в оригіналі 
